Date,Product,Category,Region,Quantity,Sales,Profit
2026-01-01,Laptop,Electronics,South,2,80000,12000
2026-01-02,Mobile,Electronics,North,3,60000,10000
2026-01-03,Keyboard,Accessories,East,5,10000,3000
2026-01-04,Mouse,Accessories,West,6,9000,2500
2026-01-05,Headphones,Electronics,South,4,20000,5000
2026-01-06,Chair,Furniture,North,2,15000,4000
2026-01-07,Table,Furniture,East,1,12000,3500
2026-01-08,Laptop,Electronics,West,1,40000,7000
2026-01-09,Mobile,Electronics,South,2,45000,9000
2026-01-10,Headphones,Accessories,North,3,15000,4000
